Week,Day,,How to think,Best practices,Patterns,Anti pattern,Limitaciones
,En Syllabus,"- Se dan 30 minutos de repaso de prework
  - Coding Agents
  - Fundamentos de AI Software Engineer

> Teoría (30 minutos): 
  + HTML
    - Estructura principal de HTML
    - Principales etiquetas
    - HTML semántico y contextual
    - Etiquetas de HTML semántico fundamentales en un website moderno
    - Mejores prácticas
  + CSS
    - Flexbox
    - DRY en CSS
    - Selectores avanzados
    - Buenas prácticas
  + Accesibilidad web
    - Principios
    - Etiquetas principales (aria-label y role)
    - Principales problemas de accesibilidad
  + SEO y GEO 
    - Qué es SEO
      -- ¿Cómo funciona el SEO para los buscadores?
    - ¿Qué es GEO?
      -- Cómo funciona el posicionamiento en Gen AI 
    - Schema.org
    - Mejores prácticas en SEO y GEO
","- Reconocer una interfaz y saber rápidamente en qué cajas se va a dividir.
- Poder seleccionar un elemento del DOM
- Comprender la teoría de esquemas de colores frente a indicar colores genéricos
- Reconocer si el código ha sido generado en función de estándares HTML y CSS
- Verificar la correcta implementación de un etiquetado JSON-LD efectivo.
- Comprender la necesidad de una aplicación accesible para incluir a personas con discapacidad y, por tanto, llegar a más visitantes y clientes.
- Saber identificar la necesidad de un buen SEO/GEO para una mayor visibilidad en internet.
- Saber verificar la estructura del documento a través del inspector de las DevTools
- Saber identificar las reglas de estilo que tiene asociadaas cada elemento HTML a través del inspector de las DevTools","- Uso de tags generales ✅
- DRY ⚠️
- Uso de html contextual (section, footer, header, head, body, atributo 'alt') ⚠️
- SEO/GEO (schema org) ⚠️
- Accesabilidad (principios, aria-label, alt...)⚠️","-Flexbox
-Semantic HTML
-BEM Methodology
-Mobile First","- display: inline-block
- float","- No hay backend
- No hay javascript
- Especificamente pedirle a la ia que no queremos plantilla
- Usar un modelo viejo como sonnet 3.5"
,En Syllabus,"
> Proyecto 1: Un website para mostrar el talento de tu amigo artista
   
   La entrega debe tener un markdown llamado PROMPTS.md con todos los prompts utilizados para el resultado

   Indicar los requisitos (HTML, CSS, Accesibilidad y Schema.org)


> Instrucciones al profesor:
  - Este curso solo puede tener HTML y CSS, incluyendo etiquetas de Accesibilidad 
  - Guiar el ejercicio y hacer que algunas personas compartan pantalla y muestren su resultado
  - HTML y CSS deben quedar en archivos separados.
  - Crear un único documento HTML con distintas secciones: Bienvenida, sobre mí, mi trabajo y contacto
  - No permitir que se use un único prompt para hacer todo el ejercicio
  - Asegurar el cumplimiento, con mejores prácticas de código y de diseño, etc.
  
> Propuesta para guiar el ejercicio:
    - Se deben incorporar elementos poco a poco (el body, luego una barra superior, luego un logo a la izquierda y una lista de enlaces a la derecha)

  1. Se pide (de forma vaga, sin detalle, aunque limitado para que no resuelva todo el proyecto) a la IA que haga una web personal de AI Engineer con solo HTML y CSS.  
  2. Se revisa el código.
  3. Se pide que haga una nueva versión, refinando la solicitud, y se le pasa pasa la foto.
  4. Se revisa el código resultante.
  5. Se contrasta con lighthouse (disponible en crhome y brave de forma nativa). Se pulen los puntos bajos 
  6. Se revisa el código ""final""

  7. Se analizan las diferencias entre las solicitudes y entre los resultados

  + Actividad extra (en caso de que el proyecto salga rápido):
    - Hacer que la vista sea un Feed de Instagram, repitiendo la estructura del post con distintas imágenes y texto. 

",,,,,
1,2,Skill: Desarrollar interfaces complejas incorporando los componentes más comunes utilizando librerías de CSS ,,,,,
,En Syllabus,"> Teoría:
  + Web app layouts
    - ¿Qué es el layout? 
    - Formas de navegación: Sidebar, topbar, bottombar, etc...
    - Todos los tipos de diagramación de vistas y contenido en una sola página
    - Introducción al diseño compuesto (old atomic desing) aplicado a web: átomos, moléculas, organismos, plantillas, páginas

  + Componentes web
    - Elementos típicos para representar tus datos (card, modal, toggle, dropdown)
    - Listados de elementos: Tablas, acordión, lista de cards, cards desplegables, widget box.

  + Diseño responsivo
    - ¿Qué es el diseño responsivo?
    - ¿Por qué es importante que el contenido se adapte a cada tipo de pantalla?
    - Principales pantallas: Móvil, Tablet, Portátil, Monitor o TV
    - ¿Cómo se gestiona el diseño responsivo? media queries vs bibliotecas CSS (referencia genérica, se puede usar ejemplo con Tailwind)
    - Mobile-first design


  + Tailwind
    - Ask Rigobot: ¿Qué es un CDN?
    - Ventajas de usar una biblioteca de estilos
    - Situaciones comunes: ir sobre casos de uso (spacing: padding y margin, sizing: width, height..., overflow y scrolling, posicionamiento de elementos)
","- Saber identificar componentes en función del diseño 
- Pensar en interfaces de usuario con piezas reutilizables
- compositional thinking: la idea es que el desarrollador vaya del macro al micro, empezando por el componente más externo hasta el más específico
- Iteración top-bottom con IA: de la estructura principal a las características, terminando con colores y tipografías
- Describir conceptualmente y no visualmente
- Reconocer componentes en una interfaz
- Saber indicar a la IA qué componentes implementar
- Identificar qué elementos adaptar según el dispositivo de visualización
- Comprender que un sitio web atractivo y útil no necesariamente es el que tiene más elementos visuales, sino el que tiene la mejor organización y el contenido relevante.","- Using CDN
- Style normalization (https://tailwindcss.com/docs/preflight)
- Responsive Breakspoints at least 3 devices (phone, portrait tablet, desktop)
- Mobile-first design
- Rows vs Columns
- Flex vs GRID ⚠️
- Using tailwing utility classes
","- Componentes reutilizables
- Section based architecture
- Slot and layout pattern
- Prompt as pattern: Generate a [section_type] using [framework].
It should include [key elements]. Follow the [theme] and use Tailwind utilities for spacing and alignment.
- Mobile pattern","- Pixel based thinking (e.g.: button de 30px)
- Single prompt page generation
- Ignorar la jerarquía de los componentes
- Overstyling / Estilos excesivos
- Hacer componentes muy específicos en lugar de reutilizar anteriores
",- Usar un modelo viejo como sonnet 3.5
,En Syllabus,"
> Proyecto: Mi primer dashboard para mostrar datos
 
  1. Se pide a la IA que haga un dashboard con Tailwind, solo HTML y CSS
  2. Se revisa el código
  3. Si no resulta satisfactorio el resultado, se refinan detalles con la IA (describiendo las dos vistas en detalle)
  4. Se revisa el resultado y se evalúa el cumplimiento de mejores prácticas y patrones en el código
  5. Pedirle a la IA que haga que desde la barra de navegación se pueda cambiar el tipo de visualización

  + Actividades extra:
    - Agregar efectos visuales avanzados y animaciones

> Instrucciones al profesor:
  - Guiar el ejercicio y hacer que algunas personas compartan pantalla y muestren su resultado",,,,,- Usar Tailwind CSS sin bibliotecas de componentes como ShadCN
1,3,Skill: Implementar formularios complejos con validación de campos mediante JS,,,,,
,En Syllabus,"> Teoría:
  + Formularios
    - Etiquetas principales
      - Inputs de texto (text, email, autocomplete)
      - Inputs de selección: radiobutton y checkbox
      - Otros inputs (numéricos, fechas...)
      - Textarea
      - Selects (y options)
      - Botones: input=submit vs button
    - Identificando y agrupando campos: Labels, placeholders y fieldgroups
    - Validaciones en formularios con navegador
    - Casos especiales: required, disabled, read-only
    - Casos de uso más comunes en formularios (login, contacto, búsqueda, registros, compra)

  + Tailwind en formularios
    - Form layouts (login, inline, grid)
    - Elementos típicos para representar en tus formularios (alerts, form, modal, dropdown, switch, toggle groups)
    - Situaciones comunes Tailwind en forms (spacing y sizing, señalización de errores)

  + Flujos con formularios
    - Campos condicionados / interdependientes
    - Adaptive stepped forms
    - Formularios compuestos (""Modal para Creación de Dependencia"")
    - Validaciones avanzadas (JS para formularios)

  + Buenas prácticas en formularios / Formularios efectivos (pocos datos)
    - Campos innecesarios:
      -- Por redundancia (fecha inicio + fecha fin + duración)
      -- Por pertinencia (dirección de casa para crear una cuenta de usuario)
      -- Puede solicitarse en otro momento (pedir datos fiscales para crear una cuenta de usuario)
","- Identificar que información se precisa de un usuario en un momento dado
- Diferenciar datos según necesidades técnicas y necesidades comerciales (ej: para registro, el correo es indispensable para identificar al usuario, pero la ubicación puede ser opcional y solo una necesidad de marketing que no debe obstaculizar el registro. En cambio, si es una web que restringe el acceso a menores, la fecha de nacimiento no es un requisito secundario sino que se convierte en técnico y parte de la lógica del negocio.)
- Cosas que no tienes que aprender en este punto (entrañas de JS en la validación, condiciones de dependencia entre los formularios)
- Comprender que una correcta notificación facilita la corrección de errores en un formulario e incrementa la satisfacción de la persona
- Comprender que un formulario corto y fácil de rellenar incrementa el éxito del mismo.
- Identificar formas de distribuir el contenido de un formulario para que no se vea sobrecargado.","- Uso del correcto input type
- Uso del label y el atributo for
- Agrupar campos con un mismo propósito (fieldset y legend)
- Validación por defecto y campos requeridos
- Diagramación de formularios
- Consistencia Visual","- utility-first
- Validación inmediata
Patrones de diseño:
- Componentes de Campos de Entrada
- Contenedor de Grupos de Campos
- Mensajes de Alerta/Feedback
","- no label / placeholder as a label / label confuso
- input type text para todo
- Campos innecesarios
- Formularios largos
- Ocultar los errores hasta el final
- No responsive",
HITO 01,En Syllabus,"> Proyecto (Hito 1): Web pública de ""mi empresa""
 1. Pide a la IA que haga el sitio web de tu empresa
 2. Revisa el contenido generado y su código.
 3. Solicitar a la IA un documento nuevo con un formulario de postulación para probar el futuro producto.
 4. El formulario deberá incluir al menos un campo de nombre, un campo de correo electrónico, un campo de fecha de nacimiento (para verificar si es adulto) y un campo de texto largo para la motivación de la postulación.
 5. Se pueden agregar campos opcionales como ¿Cuánto pagarías por este producto? (campo numérico)
 6. Revisar el resultado y las buenas prácticas empleadas en el código.
 7. Después de revisar, hazle las observaciones que consideres pertinentes para que la IA las corrija
 8. Agrega validación de campos con VanillaJS para cada formulario (aunque no sepas hacerlo, la IA lo hará por ti si se lo explicas adecuadamente)
 9. Verifica que las validaciones funcionan correctamente y que los mensajes de error tienen estilos adecuados
 10. Agregar botón secundario para borrar los datos del formulario


> Instrucciones al profesor:
  - Guiar el ejercicio y hacer que algunas personas compartan pantalla y muestren su resultado
  - Debe tener 2 ""vistas"" Una con el portafolio + el contacto y otra con el formulario de cotización. 
  - Se deberá hacer un repositorio nuevo, no reutilizar el del dia 1, pueden reutilizar los prompts",,,,,
,,"### COMMAND LINE, GIT AND GITHUB ###",,,,,
2,4,Skill: Utilizar la línea de comandos para interacciones esenciales en el día a día de un desarrollador,,,,,
,En Syllabus,"> Teoría:
  + Sistema de archivos (Jerarquía)
    - Rutas relativas vs Rutas absolutas
    - Entry point
  + Command Line / Terminal
    - 10 comandos más usados por un programador (+ 1: incluir grep)
    - Editores de archivos más comunes: vi, nano (comandos principales: salida, edición y escritura)
    - Conexiones SSH
","- Comprensión del sistema de archivos y su jerarquía
- ¿Dónde estoy cuando estoy en la Terminal?
- Cómo referenciar rutas desde mi ubicación
- Cómo ubicar un proceso en la estructura
- La raíz de un proceso no es la raíz del proyecto. Es la ruta del entry file (entrypoint)
- Usualmente los comandos de terminal se preparan como un ""one-shoot"" y por eso pensar en los argumentos
- Las LLM son particularmente excepcionales usando CLIs, esto es para ellas.
- Se pueden ejecutar varios commands a la vez si creas un bash/shell script
","- Uso de rutas absolutas antes que relativas
- Evaluar dónde estoy antes de intentar moverme en el sistema de archivos","- navegación por directorios (\(cd\), \(pwd\))
- la gestión de archivos (\(ls\), \(cp\), \(mv\), \(rm\))
- la ejecución de comandos para interactuar con el sistema operativo","- Trabajar en modo root (superuser / admin)
- No usar los argumentos
- No pensar en donde estas ubicado","- No IA
- No se creará un Shell Script, pero se les explicará en qué consisten"
,En Syllabus,"> Proyecto 1: exercise-command-line-challenge (reemplazar https://cmdchallenge.com/)

> Proyecto 2 (a evaluar viabilidad):
  - ¿Conectarse a un servidor remoto por SSH y encontrar un texto?
  - Pedir a la IA que genere los comandos por nosotros",,,,,- No IA
2,5,Skill: Aprender a trabajar en colaboración con una IA y otros desarrolladores de forma eficiente y con bajo riesgo,,,,,
,En Syllabus,"> Teoría:
  + Git para devs
    - Cómo funciona
    - Cómo saber dónde estoy (concepto de HEAD)
    - Principales comandos (git status, git add, git commit, git pull, git push, git remote)
    - Algunos comandos avanzados (git merge, git log [y --stat], git revert,  git stash, git reset)
    - Gestión de cambios: Línea de comandos vs Interfaz del editor (IDE) vs hechos por IA
    - Ramas (git branch, concepto de HEAD)
    - Gitflow simplificado (main, dev, feature/, bugfix/) <--- Establecer lineamientos de base para homologar entre profesores y evitar ""ramas personales""
    - git switch vs git checkout [y -b]
    - git merge vs git rebase
    - Buenas prácticas en Git
  + Github
    - ¿Qué es Github? 
    - Issues
    - Forks vs Templates
    - Pull Requests (entre ramas y entre repos)
    - Buenas prácticas en Github
  
","- Relacionar commits con características o funcionalidades
- Identificar los principales comandos de Git y su uso en el IDE
- Saber dónde estoy en un proyecto git
- Cómo moverme entre ramas
- Incorporar el uso de PR como mecanismo para incorporar funcionalidades/características por ramas
- Cómo colaborar o contribuir de forma organizada
- Como deshacer o revertir cambios
- Comprender que Github es la vitrina técnica para mostrar nuestro talento y hay que mimar cada proyecto.","- Selección de archivos de un commit
- Una característica (vista, en este caso), una rama
- Hacer PR
- Mantener limpieza de ramas","- Git por línea de comandos
- Git por IDE
- Gitflow (simplificado: trabajo con ramas principales y nomenclatura base)
- Partir de un core (main) y hacer PRs al core
- Configuraciones y claves fuera del repositorio
- ¿¿¿Fusionar ramas muy antiguas sin git rebase???
- ¿¿¿ Git rebase (es un patrón pero puede agregar complejidad) ???","- Uso del git add . o añadir todo al commit siempre 
- Trabajo directo en main
- No describir adecuadamente los commits
- Commits muy grandes
- --force
- Subir los .env y configuraciones al proyecto
- PR sin revisiones",
,En Syllabus,"> Proyecto colaborativo en pareja (Equipo + IA + Git): maquetación de una tienda estática colaborativa con IA (Solo HTML y Tailwind)
  1. Preguntar a la IA ¿Qué elementos básicos debe tener la maqueta de una tienda en línea?
  2. Validar la respuesta de la IA y analizar se se adecúa a lo que se busca
  3. Distribuir tareas por características/vistas (crear el repo común y actividades)
  4. Desarrollar características en ramas
  5. Unificar desarrollos en rama principal
  6. Conectar vistas (commits y merges adicionales)
 
Debe contener todo lo que se ha visto anteriormente (HTML semántico, Tailwind, Schema.org, diseño responsivo) y conformarse por 5 vistas
- Home (con una barra de navegación, un Hero, listado de productos nuevos, listado de productos más comprados, footer)
- Catálogo (listado de productos y barra de filtros)
- Producto (Foto de producto, detalles de producto, precio y descripción)
- Carrito (vista completa del contenido de un carrito con sus productos, la totalización y botón de comprar)
- Formulario de pago (datos personales, dirección de entrega y datos de tarjeta)",,,,,"- Solo HTML y Tailwind
- Nada de React.
- Puede haber alguna acción con JS"
,,### PERSONAL ASSISTANTS WITH OPENCLAW ###,,,,,
2,6,Skill: Configurar un agente de IA de código abierto y autoalojado como un asistente personal básico,,,,,
,En Syllabus,"> Teoría: 

  + Introducción a SSH

  + Introducción a los VPS

  + Introducción a OpenClaw
    - ¿Qué es Openclaw?
    - ¿Qué beneficios ofrece OpenClaw?
    - ¿Cómo escoger el modelo adecuado para cada tarea que va a realizar OpenClaw?
      -- Openclaw no es ""nada"" sin un modelo.
      -- ¿Por qué es importante seleccionar distintos modelos según las tareas del agente?
    - Riesgos de seguridad al configurar un OpenClaw 
      -- No es un multi-tenant boundry.
    - Importancia de seguir las indicaciones de instalación de 4Geeks para la configuración de Openclaw.
  
  + Instalación y Configuración de OpenClaw en un VPS 
    - Mención de las formas de configuración (1 click, Docker, manual) y entornos (vps, local, etc) 
    - Instalación paso a paso en un VPS
    - Paso a paso sobre el proceso (detalles sobre cada paso de configuración, una vez ejecutas OpenClaw, debes ir realizando una serie de configuraciones)
      -- Provedor Litellm
      -- Ingresar API Key
      -- Saltar skills (se atenderá luego)
      -- Habilitar hooks
      -- Saltar channels works (se atenderá luego)
      -- Try local chat
    - ¿Qué es el openclaw.json? Principales atributos

","- ¿Qué significa que Openclaw sea un asistente personal?
- Openclaw no sabe hacer nada, a menos que le enseñen.
- Es un error pensar que Openclaw va a saber hacer algo con solo instalarlo.
- Openclaw solo sirve para cosas elementales si no conoces su arquitectura
- ¿Por qué es importante seleccionar distintos modelos según las tareas del agente?
- Comprender los riesgos de seguridad a los que se puede estar expuesto al usar Openclaw
- ",,,,
,En Syllabus,Proyecto: entregar validación de que lo ha configurado correctamente. ,,,,,
3,7,Skill: Asignar tareas sencillas e integrar aplicaciones a OpenClaw,,,,,
,En Syllabus,"> Teoría: 

+ Asignación tareas simples a Openclaw 
  - Basic Channel Configuration
  - Basic Skill Installation: Install necessary skills (e.g., Telegram for messaging)
  - Basic Task Setup (tareas diarias: buscar en internet, redactar, trabajar con archivos...)


+ Conectar OpenClaw con Telegram
  - Mención rápida de qué es Telegram
  - Cómo crear un bot en Telegram
  - Configurar OpenClaw para usar Telegram
  - Validación de conexión exitosa con Telegram

+ Configurar Zapier vía MCP 
  - Introducción a MCP (como herramienta para conectar a agentes con otros servicios)
  - Cómo agregar un MCP a OpenClaw
  - Configurando Zapier
  - ¿Por qué estamos usando Zapier-MCP? (Explicar que es un puente para que se logre dimensionar las capacidades del agente -como crear documentos, agendar eventos, etc- , dejar en claro que estas tools o skills se puede configurar de forma nativa en el agente de OpenClaw) 

+ Riesgos y vulnerabilidades en el uso de OpenClaw
  - Concientización sobre los riesgos de seguridad que representa OpenClaw
  - Cuidados y restricciones a aplicar al usar cuentas personales
  - Cómo evitar la exposición de credenciales.
  - Qué se recomienda evitar conectar con OpenClaw","Como transformar una api en una serie de skill: para que tu agente pueda interactuar con un sistema (workflow > api)

",- Restringir su actuación y habilidades a necesidades concretas,,"- Exponer claves de configuración y secretos
- Darle acceso a contenido sensible
- Dar acceso total
","- Uso de elementos preexistentes, sin creación propia"
,En Syllabus,"Proyecto: 
- Pedirle por Telegram que cree un documento
- Crear un documento en Google Drive, 
- Crear un evento en el calendario para apartar el tiempo para reservarlo
- enviar un mensaje por Telegram confirmando que se ha ejecutado la solicitud",,,,,
,,### CODING FUNDAMENTALS WITH TYPESCRIPT ###,,,,,
3,8,Skill: Representar y estructurar de forma determinista la lógica de un sistema usando flujos secuenciales con contextos variables ,,,,,
,En Syllabus,"> Teoría:
  + ¿Qué es la programación? -> Darle instrucciones a una máquina
   - Pensamiento Algorítmico -> Escribir en pseudocódigo.
   - Variables 
   - Direcciones de memoria
   - Tipos de datos básicos o primitivos (character, integer, float, boolean)
   - Tipos de datos estructurados o complejos (mención superficial a cadenas de texto, colecciones (arrays) y objetos)
   - Operadores (aritméticos, de asignación, de comparación y lógicos) : versión simple de cada uno. 

  + Dominando el Flujo del Programa (Lógica de Programación y Control de Ejecución):
   - Control de flujo (condicionales) - Control flow
     -- Identificación de casos borde/límite
   - Estado del flujo - State flow
   - Conceptos de iteración y bucles (for, while) 
   - Scope / Contexto
   - Flujos anidados
   - Flujos reutilizables (introduccion teórica a ""funciones"")","- Comprender la importancia del pensamiento lógico matemático como herramienta fundamental para el criterio técnico.
- Identificar casos generales y casos específicos en un flujo.
- Saber diferenciar entre el control flow y el state flow
- Saber predecir state flow (ejecución en frio)
- Identificar y evaluar los casos borde/límite de un problema
- Reducir los condicionales al mínimo: bifurcar es agregar complejidad
- Identificar el uso del concepto que se esta aprendiendo ( que el alumno comprenda ""cuanto necesita entender"" de un concepto para poder avanzar, por ejemplo para usar un taladro para colgar un cuadro no necesito comprender la electronica del mismo mientras que si lo que busco es mejorar el taladro si que requira comprender sus componentes y funcionamiento interno para esa tarea)
- Plantear soluciones en tu idioma nativo primero, luego pseudocódigo
- Comprender el próposito para alcanzar el objetivo
- Comprender que no necesito conocer y dominar todo para plantear una solución en pasos y procesos (pueden existir cajas negras) 
","Analogías con el mundo real

","El Patrón ""Sándwich"" (IPO: Input-Process-Output)
Es la estructura fundamental. Todo algoritmo debe tener tres fases claras.
-Entrada (Input): Definir qué necesito (ingredientes). Inicializar variables (Contador = 0).
-Proceso: La lógica, cálculos y bucles.
-Salida (Output): Mostrar el resultado o devolver el valor.

El Patrón de ""Salida Única"" (Single Exit Point)
Idealmente, un algoritmo o una sub-rutina debe tener un solo punto de inicio y un solo punto de fin.

El Patrón del ""Centinela"" (Para Bucles)
Al diseñar bucles mientras (while) o repetir (for), debe existir una condición clara de parada controlada por una variable.

Modularización (Sub-procesos)
Cuando un diagrama de flujo se hace muy largo, se debe colapsar una sección lógica en un ""Proceso Predefinido"" (generalmente un rectángulo con barras laterales).","El Flujo Espagueti (Unstructured Jumps)
El uso indiscriminado de flechas que cruzan todo el diagrama para volver a un punto arbitrario anterior (el equivalente al temido GOTO).

El ""Paso Milagro"" (The Miracle Step)
Un paso en el algoritmo que es demasiado ambiguo o complejo para ser una sola instrucción.

El Bucle Infinito Visual (The Black Hole)
Un ciclo donde las flechas de ""No"" o ""Sí"" vuelven al inicio del ciclo, pero ninguna acción dentro del ciclo cambia la condición.

Código Muerto (Unreachable Code)
Partes del diagrama o algoritmo a las que es imposible llegar porque la lógica anterior las excluye.",- No IA
,En Syllabus,"> Práctica: 
  - Learnpacks Con múltiples retos de diseños de flujo y ""state machine"" (ejercicio tipo los del Command Line) para validar que lo hagan correctamente",,,,,- No IA
3,9,Skill: Entender los fundamentos de TypeScript y su sintaxis para aplicar el concepto de algoritmos medianto código,,,,,
